id,code_prefix_start,name,parent_id
account_group_1,1,ATIVO,
account_group_12,12,ATIVO CIRCULANTE,account_group_1
account_group_121,121,DISPONÍVEL,account_group_12
account_group_1211,1211,CAIXA,account_group_121
account_group_12111,12111,CAIXA,account_group_1211
account_group_121119,121119,CAIXA,account_group_12111
account_group_12111901,12111901,CAIXA,account_group_121119
account_group_121119011,121119011,CAIXA,account_group_12111901
account_group_1212,1212,NUMERÁRIO EM TRANSITO,account_group_121
account_group_12121,12121,NUMERÁRIO EM TRANSITO,account_group_1212
account_group_121219,121219,Numerário em Trânsito,account_group_12121
account_group_12121901,12121901,Numerário em Trânsito,account_group_121219
account_group_121219011,121219011,Numerário em Trânsito,account_group_12121901
account_group_1213,1213,BANCOS CONTA MOVIMENTO,account_group_121
account_group_12131,12131,BANCOS CONTA MOVIMENTO,account_group_1213
account_group_121319,121319,Bancos Conta Movimento,account_group_12131
account_group_12131901,12131901,Bancos Conta Movimento,account_group_121319
account_group_121319011,121319011,Bancos Conta Movimento,account_group_12131901
account_group_1214,1214,APLICAÇÕES DE LIQUIDEZ IMEDIATA,account_group_121
account_group_12141,12141,APLICAÇÕES DE LIQUIDEZ IMEDIATA,account_group_1214
account_group_121419,121419,Aplicações de Liquidez Imediata,account_group_12141
account_group_12141901,12141901,Aplicações de Liquidez Imediata,account_group_121419
account_group_121419011,121419011,Aplicações de Liquidez Imediata,account_group_12141901
account_group_122,122,APLICAÇÕES FINANCEIRAS,account_group_12
account_group_1221,1221,APLICAÇÕES GARANTIDORAS DE PROVISÕES TÉCNICAS,account_group_122
account_group_12211,12211,TÍTULOS DE RENDA FIXA - PRIVADOS,account_group_1221
account_group_122119,122119,Títulos de Renda Fixa - Privados,account_group_12211
account_group_12211901,12211901,Depósitos Bancários a Prazo - CDB/RDB,account_group_122119
account_group_122119011,122119011,Depósitos Bancários a Prazo - CDB/RDB,account_group_12211901
account_group_12211902,12211902,Cotas de Fundos de Investimentos,account_group_122119
account_group_122119022,122119022,Cotas de Fundos de Investimentos,account_group_12211902
account_group_12211908,12211908,Outros Títulos de Renda Fixa,account_group_122119
account_group_122119088,122119088,Outros Títulos de Renda Fixa,account_group_12211908
account_group_12211909,12211909,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados,account_group_122119
account_group_122119099,122119099,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados,account_group_12211909
account_group_12212,12212,TÍTULOS DE RENDA FIXA - PÚBLICOS,account_group_1221
account_group_122129,122129,Títulos de Renda Fixa - Públicos,account_group_12212
account_group_12212901,12212901,Títulos da Dívida Pública Interna,account_group_122129
account_group_122129011,122129011,Títulos da Dívida Pública Interna,account_group_12212901
account_group_12212902,12212902,Cotas de Fundos de Investimentos,account_group_122129
account_group_122129022,122129022,Cotas de Fundos de Investimentos,account_group_12212902
account_group_12212908,12212908,Outros Títulos de Renda Fixa,account_group_122129
account_group_122129088,122129088,Outros Títulos de Renda Fixa,account_group_12212908
account_group_12212909,12212909,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos,account_group_122129
account_group_122129099,122129099,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos,account_group_12212909
account_group_12213,12213,TÍTULOS DE RENDA VARIÁVEL,account_group_1221
account_group_122139,122139,Títulos de Renda Variável,account_group_12213
account_group_12213901,12213901,Cotas de Fundos de Investimentos,account_group_122139
account_group_122139011,122139011,Cotas de Fundos de Investimentos,account_group_12213901
account_group_12213902,12213902,Ações e Ouro,account_group_122139
account_group_122139022,122139022,Ações e Ouro,account_group_12213902
account_group_12213908,12213908,Outros Títulos de Renda Variável,account_group_122139
account_group_122139088,122139088,Outros Títulos de Renda Variável,account_group_12213908
account_group_12213909,12213909,(-) Provisão para Desvalorização de Títulos de Renda Variável,account_group_122139
account_group_122139099,122139099,(-) Provisão para Desvalorização de Títulos de Renda Variável,account_group_12213909
account_group_12218,12218,OUTRAS APLICAÇÕES,account_group_1221
account_group_122189,122189,Outras Aplicações,account_group_12218
account_group_12218908,12218908,Outras Aplicações,account_group_122189
account_group_122189088,122189088,Outras Aplicações,account_group_12218908
account_group_12218909,12218909,(-) Provisão para Desvalorização de Outras Aplicações,account_group_122189
account_group_122189099,122189099,(-) Provisão para Desvalorização de Outras Aplicações,account_group_12218909
account_group_1222,1222,APLICAÇÕES LIVRES,account_group_122
account_group_12221,12221,TÍTULOS DE RENDA FIXA - PRIVADOS,account_group_1222
account_group_122219,122219,Títulos de Renda Fixa - Privados,account_group_12221
account_group_12221901,12221901,Depósitos Bancários a Prazo - CDB/RDB,account_group_122219
account_group_122219011,122219011,Depósitos Bancários a Prazo - CDB/RDB,account_group_12221901
account_group_12221902,12221902,Cotas de Fundos de Investimentos,account_group_122219
account_group_122219022,122219022,Cotas de Fundos de Investimentos,account_group_12221902
account_group_12221908,12221908,Outros Títulos de Renda Fixa,account_group_122219
account_group_122219088,122219088,Outros Títulos de Renda Fixa,account_group_12221908
account_group_12221909,12221909,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados,account_group_122219
account_group_122219099,122219099,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Privados,account_group_12221909
account_group_12222,12222,TÍTULOS DE RENDA FIXA - PÚBLICOS,account_group_1222
account_group_122229,122229,Títulos de Renda Fixa - Públicos,account_group_12222
account_group_12222901,12222901,Títulos da Dívida Pública Interna,account_group_122229
account_group_122229011,122229011,Títulos da Dívida Pública Interna,account_group_12222901
account_group_12222902,12222902,Cotas de Fundos de Investimentos,account_group_122229
account_group_122229022,122229022,Cotas de Fundos de Investimentos,account_group_12222902
account_group_12222908,12222908,Outros Títulos de Renda Fixa,account_group_122229
account_group_122229088,122229088,Outros Títulos de Renda Fixa,account_group_12222908
account_group_12222909,12222909,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos,account_group_122229
account_group_122229099,122229099,(-) Provisão para Desvalorização de Títulos de Renda Fixa - Públicos,account_group_12222909
account_group_12223,12223,TÍTULOS DE RENDA VARIÁVEL,account_group_1222
account_group_122239,122239,Títulos de Renda Variável,account_group_12223
account_group_12223901,12223901,Cotas de Fundos de Investimentos,account_group_122239
account_group_122239011,122239011,Cotas de Fundos de Investimentos,account_group_12223901
account_group_12223902,12223902,Ações e Ouro,account_group_122239
account_group_122239022,122239022,Ações e Ouro,account_group_12223902
account_group_12223903,12223903,"Derivativos com Liquidação em Sistema de Liquidação Autorizado pelo BACEN, interpondo-se à câmara como contraparte central",account_group_122239
account_group_122239033,122239033,"Derivativos com Liquidação em Sistema de Liquidação Autorizado pelo BACEN, interpondo-se à câmara como contraparte central",account_group_12223903
account_group_12223904,12223904,"Derivativos sem Liquidação em Sistema de Liquidação Autorizado pelo BACEN, interpondo-se à câmara como contraparte central",account_group_122239
account_group_122239044,122239044,"Derivativos sem Liquidação em Sistema de Liquidação Autorizado pelo BACEN, interpondo-se à câmara como contraparte central",account_group_12223904
account_group_12223908,12223908,Outros Títulos de Renda Variável,account_group_122239
account_group_122239088,122239088,Outros Títulos de Renda Variável,account_group_12223908
account_group_12223909,12223909,(-) Provisão para Desvalorização de Títulos de Renda Variável,account_group_122239
account_group_122239099,122239099,(-) Provisão para Desvalorização de Títulos de Renda Variável,account_group_12223909
account_group_12228,12228,OUTRAS APLICAÇÕES,account_group_1222
account_group_122289,122289,Outras Aplicações,account_group_12228
account_group_12228908,12228908,Outras Aplicações,account_group_122289
account_group_122289088,122289088,Outras Aplicações,account_group_12228908
account_group_12228909,12228909,(-) Provisão para Desvalorização de Outras Aplicações,account_group_122289
account_group_122289099,122289099,(-) Provisão para Desvalorização de Outras Aplicações,account_group_12228909
account_group_123,123,CRÉDITOS DE OPERAÇÕES COM PLANOS DE ASSISTÊNCIA À SAÚDE,account_group_12
account_group_1231,1231,CONTRAPRESTAÇÃO PECUNIÁRIA/PRÊMIO A RECEBER,account_group_123
account_group_12311,12311,CONTRAPRESTAÇÃO PECUNIÁRIA/PRÊMIOS A RECEBER DE ASSISTÊNCIA MÉDICO HOSPITALAR,account_group_1231
account_group_123111,123111,Cobertura Assistencial com Preço Preestabelecido,account_group_12311
account_group_12311101,12311101,Contraprestação Pecuniária/Prêmios a Receber,account_group_123111
account_group_123111011,123111011,Contraprestação Pecuniária/Prêmios a Receber,account_group_12311101
account_group_12311109,12311109,(-) Provisão para Perdas Sobre Créditos,account_group_123111
account_group_123111099,123111099,(-) Provisão para Perdas Sobre Créditos,account_group_12311109
account_group_123112,123112,Cobertura Assistencial com Preço Pós-estabelecido,account_group_12311
account_group_12311201,12311201,Contraprestação Pecuniária/Prêmios a Receber,account_group_123112
account_group_123112011,123112011,Contraprestação Pecuniária/Prêmios a Receber,account_group_12311201
account_group_12311202,12311202,Contraprestação Pecuniária/Prêmios a Emitir,account_group_123112
account_group_123112022,123112022,Contraprestação Pecuniária/Prêmios a Emitir,account_group_12311202
account_group_12311209,12311209,(-) Provisão para Perdas Sobre Créditos,account_group_123112
account_group_123112099,123112099,(-) Provisão para Perdas Sobre Créditos,account_group_12311209
