id,code,name,note,account_type,reconcile
account_template_avus_1_1_1_01_0001,1.1.1.01.0001,Caixa,,asset_cash,1
account_template_avus_1_1_1_02_0001,1.1.1.02.0001,Banco Itaú - Ag 3115 C/C 21288-2,,asset_cash,1
account_template_avus_1_1_1_02_0002,1.1.1.02.0002,Banco Itaú - Conta Nr TBD,,asset_cash,1
account_template_avus_1_1_1_02_0003,1.1.1.02.0003,Banco Banrisul - Ag 0062 C/C 060616390-3,,asset_cash,1
account_template_avus_1_1_1_02_0004,1.1.1.02.0004,Galax Pay,,asset_cash,1
account_template_avus_1_1_1_02_9002,1.1.1.02.9002,Conta Transitória de Bancos,,asset_current,1
account_template_avus_1_1_1_03_0001,1.1.1.03.0001,Banco Itaú - Renda Fixa (CDB),,asset_current,1
account_template_avus_1_1_1_03_0002,1.1.1.03.0002,Banrisul - Renda Fixa (CDB),,asset_current,1
account_template_avus_1_1_2_01_0001,1.1.2.01.0001,Contas a Receber Clientes - PJ,,asset_receivable,1
account_template_avus_1_1_2_01_0002,1.1.2.01.0002,Contas a Receber Clientes - PF,,asset_receivable,1
account_template_avus_1_1_2_02_0001,1.1.2.02.0001,Contas a Receber Clientes - PJ,,asset_receivable,1
account_template_avus_1_1_2_02_0002,1.1.2.02.0002,Contas a Receber Clientes - PF,,asset_receivable,1
account_template_avus_1_1_2_03_0001,1.1.2.03.0001,Contas a Receber Parceiro A,,asset_receivable,1
account_template_avus_1_1_2_03_0002,1.1.2.03.0002,Contas a Receber Parceiro B,,asset_receivable,1
account_template_avus_1_1_2_09_0001,1.1.2.09.0001,(-) Clientes no País,,asset_receivable,1
account_template_avus_1_1_2_09_0002,1.1.2.09.0002,(-) Clientes no Exterior,,asset_receivable,1
account_template_avus_1_1_2_09_0003,1.1.2.09.0003,(-) Parceiros de Negócios,,asset_receivable,1
account_template_avus_1_1_3_01_0001,1.1.3.01.0001,PIS a Recuperar,,asset_current,
account_template_avus_1_1_3_01_0002,1.1.3.01.0002,COFINS a Recuperar,,asset_current,
account_template_avus_1_1_3_01_0003,1.1.3.01.0003,ISS a Recuperar,,asset_current,
account_template_avus_1_1_3_01_0004,1.1.3.01.0004,IRRF a Recuperar,,asset_current,
account_template_avus_1_1_3_01_0005,1.1.3.01.0005,CSLL a Recuperar,,asset_current,
account_template_avus_1_1_3_01_0006,1.1.3.01.0006,IRPJ Recolhido por Estimativa,,asset_current,
account_template_avus_1_1_3_01_0007,1.1.3.01.0007,IRPJ Saldo Negativo,,asset_current,
account_template_avus_1_1_3_01_0008,1.1.3.01.0008,CSLL Recolhida por Estimativa,,asset_current,
account_template_avus_1_1_3_01_0009,1.1.3.01.0009,CSLL Saldo Negativo,,asset_current,
account_template_avus_1_1_3_01_0010,1.1.3.01.0010,PIS/PASEP Retido na Fonte,,asset_current,
account_template_avus_1_1_3_01_0011,1.1.3.01.0011,COFINS Retida na Fonte,,asset_current,
account_template_avus_1_1_3_01_0012,1.1.3.01.0012,IRRF a Recuperar,,asset_current,
account_template_avus_1_1_3_01_0013,1.1.3.01.0013,IRRF sobre Aplicação Financeira,,asset_current,
account_template_avus_1_1_3_01_0014,1.1.3.01.0014,IRRF sobre Lucro a Recuperar,,asset_current,
account_template_avus_1_1_3_01_0015,1.1.3.01.0015,CSLL sobre Lucro a Recuperar,,asset_current,
account_template_avus_1_1_3_01_0016,1.1.3.01.0016,INSS pago a Maior a Recuperar,,asset_current,
account_template_avus_1_1_3_02_0001,1.1.3.02.0001,Adiantamento a Fornecedores,,asset_current,
account_template_avus_1_1_3_02_0001,1.1.3.02.0001,Adiantamento a Sócios,,asset_current,
account_template_avus_1_1_3_02_0009,1.1.3.02.0009,Outros Créditos a Receber de Fornecedores,,asset_current,
account_template_avus_1_1_3_03_0001,1.1.3.03.0001,Participações em Lucros a Receber,,asset_current,
account_template_avus_1_1_3_03_0002,1.1.3.03.0002,Dividendos e JCP a Receber,,asset_current,
account_template_avus_1_1_3_03_0003,1.1.3.03.0003,Garantias e Depósito Caução a Receber,,asset_current,
account_template_avus_1_1_3_04_0001,1.1.3.04.0001,Adiantamento de Salários,,asset_current,
account_template_avus_1_1_3_04_0002,1.1.3.04.0002,Adiantamento de Férias,,asset_current,
account_template_avus_1_1_3_04_0003,1.1.3.04.0003,Adiantamento de 13º Salário,,asset_current,
account_template_avus_1_1_3_04_0004,1.1.3.04.0004,Adiantamento de Viagens,,asset_current,
account_template_avus_1_1_3_04_0005,1.1.3.04.0005,Adiantamento Benefícios a Descontar,,asset_current,
account_template_avus_1_1_3_04_0008,1.1.3.04.0008,Pensão Alimentícia a Descontar,,asset_current,
account_template_avus_1_1_3_05_0001,1.1.3.05.0001,Depósitos Judiciais em Garantia Fiscal,,asset_current,
account_template_avus_1_1_3_05_0002,1.1.3.05.0002,Depósitos Judiciais em Garantia Trabalhista,,asset_current,
account_template_avus_1_1_3_06_0001,1.1.3.06.0001,Xipp Consultoria,,asset_current,
account_template_avus_1_1_3_06_0002,1.1.3.06.0002,TNK Administradora,,asset_current,
account_template_avus_1_1_3_09_0001,1.1.3.09.0001,(-) Créditos Tributários,,asset_current,
account_template_avus_1_1_3_09_0002,1.1.3.09.0002,(-) Créditos de Fornecedores,,asset_current,
account_template_avus_1_1_3_09_0003,1.1.3.09.0003,(-) Créditos a Receber,,asset_current,
account_template_avus_1_1_3_09_0004,1.1.3.09.0004,(-) Depósitos Judiciais,,asset_current,
account_template_avus_1_1_4_01_0001,1.1.4.01.0001,Outros Créditos,,asset_current,
account_template_avus_1_1_4_02_0001,1.1.4.02.0001,Outras Provisões Trabalhistas,,asset_current,
account_template_avus_1_1_5_01_0001,1.1.5.01.0001,Prêmios de Seguros a Apropriar,,asset_current,
account_template_avus_1_1_5_01_0002,1.1.5.01.0002,Adiantamento de Despesas,,asset_current,
account_template_avus_1_1_5_01_0004,1.1.5.01.0004,IPTU a Apropriar,,asset_current,
account_template_avus_1_1_5_01_0005,1.1.5.01.0005,Licenças de Sistemas e Aplicativos,,asset_current,
account_template_avus_1_1_5_01_0009,1.1.5.01.0009,Outras Despesas Pagas Antecipadamente,,asset_current,
account_template_avus_1_2_2_01_0001,1.2.2.01.0001,Empresa A,,asset_non_current,
account_template_avus_1_2_2_01_0002,1.2.2.01.0002,Empresa B,,asset_non_current,
account_template_avus_1_2_3_01_0001,1.2.3.01.0001,Máquinas e Equipamentos,,asset_non_current,
account_template_avus_1_2_3_01_0002,1.2.3.01.0002,Móveis e Utensílios ,,asset_non_current,
account_template_avus_1_2_3_01_0003,1.2.3.01.0003,Computadores e Periféricos,,asset_non_current,
account_template_avus_1_2_3_01_0004,1.2.3.01.0004,Benfeitorias em Imóveis de Terceiros,,asset_non_current,
account_template_avus_1_2_3_01_0005,1.2.3.01.0005,Direito de Uso Imobilizado - Arrendamentos,,asset_non_current,
account_template_avus_1_2_3_02_0001,1.2.3.02.0001,Depreciação - Máquinas e Equipamentos,,asset_non_current,
account_template_avus_1_2_3_02_0002,1.2.3.02.0002,Depreciação - Móveis e Utensílios ,,asset_non_current,
account_template_avus_1_2_3_02_0003,1.2.3.02.0003,Depreciação - Computadores e Periféricos,,asset_non_current,
account_template_avus_1_2_3_02_0004,1.2.3.02.0004,Depreciação - Benfeitorias em Imóveis de Terceiros,,asset_non_current,
account_template_avus_1_2_3_02_0005,1.2.3.02.0005,(-) Depreciação Arrendamento,,asset_non_current,
